DOI,Materials-1,Materials-2,Materials-note,Electrolyte,Voltage window (V),Specific surface area (m2/g),Capacitance (F/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig ,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %)
10.1149/1.1921134,CDC,,,h2so4,0.25,630,80,,1.5,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1000,125,,1.75,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1500,175,,2.5,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1400,160,,2.9,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,850,95,,1.25,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1800,138,,1.15,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1700,143,,1.25,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1100,120,,1.8,,,,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,20,35,0.11,,0.02,,1.02,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,73,,0.18,,0.07,,0.88,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,111,,0.19,,0.09,,0.9,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,156,,0.3,,0.13,,0.85,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,229,,0.44,,0.18,,0.86,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,247,40,0.37,,0.18,,0.83,,,,,,
10.1007/s11431-006-2008-z,carbon nanorods,,,koh,0.9,1347,189.1,1.01,3,,,,,,,,,
10.1007/s11431-006-2008-z,carbon nanorods,,,koh,0.9,3310,333.9,,2,,,,,,,,,
10.1002/adma.200602184,carbon nanofiber,,,koh,0.9,310,120,0.17,0.54,0.15,,,3.5,4.9,0,,,
10.1002/adma.200602184,carbon nanofiber,,,koh,0.9,420,128,0.22,0.54,0.2,,,2.9,4.8,0,,,
10.1002/adma.200602184,carbon nanofiber,,,koh,0.9,550,140,0.34,0.59,0.26,,,0.9,4.5,0,,,
10.1021/ja7106146,,,,h2so4,1,2872,312,2.06,,,,,,,,,,
10.1002/anie.200702721,,,,koh,1,970,68.4,0.69,2.85,0.3,,,,,,,,
10.1039/b819202b,,,,h2so4,0.9,1140,304,,,,,,,,,,,
10.1039/c0jm00382d,porous carbon,,,koh,1,2273,168,2.74,4.47,,,,,,,,,
10.1021/ja910307x,porous carbon,,,h2so4,1.2,,300,,,,,3.75,,,,,,
10.1021/ja910307x,,,,h2so4,1.2,,200,,,,,3.6,,,,,,
10.1021/ja910307x,,,,h2so4,1.2,,220,,,,,3.4,,,,,,
10.1021/ja910307x,,,,h2so4,1.2,,225,,,,,3.25,,,,,,
10.1021/nn901825y,CDC,,,teabf4,2,2250,150,1.4,,,,2.45,,,,,,
10.1021/nn901825y,CDC,,,teabf4,2,2430,125,1.4,,,,2.26,,,,,,
10.1021/nn901825y,CDC,,,teabf4,2,2420,138,1.5,,,,2,,,,,,
